time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
1,7239,0,000000,1,360000,0,000000,358,800000,0,200000,0,000000,-0,098952,1,310000,0,300347,0,000000,0,200000,0,000000,0,101047,1,310000,0,299649,0,000000,0,200000,0,000000
1,7410,0,000000,1,360000,0,000000,357,400000,0,400000,0,000000,-0,097903,1,310000,0,300691,0,000000,0,400000,0,000000,0,102092,1,310000,0,299295,0,000000,0,400000,0,000000
1,7547,0,000000,1,360000,0,000000,354,800000,1,400000,0,000000,-0,092641,1,310000,0,302354,0,000000,1,400000,0,000000,0,107300,1,310000,0,297467,0,000000,1,400000,0,000000
1,7670,0,000000,1,360000,0,000000,351,800000,3,200000,0,000000,-0,083098,1,310000,0,305114,0,000000,3,200000,0,000000,0,116591,1,310000,0,293950,0,000000,3,200000,0,000000
1,7861,0,000000,1,360000,0,000000,349,000000,5,400000,0,000000,-0,071324,1,310000,0,308079,0,000000,5,400000,0,000000,0,127789,1,310000,0,289258,0,000000,5,400000,0,000000
1,8044,0,000000,1,360000,0,000000,344,600000,9,000001,0,000000,-0,051838,1,310000,0,311950,0,000000,9,000000,0,000000,0,145699,1,310000,0,280663,0,000000,9,000000,0,000000
1,8204,0,000000,1,360000,0,000000,343,000000,10,200000,0,000000,-0,045294,1,310000,0,312967,0,000000,10,200000,0,000000,0,151545,1,310000,0,277550,0,000000,10,200000,0,000000
1,8350,0,000000,1,360000,0,000000,342,400000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,8500,0,000000,1,360000,0,000000,342,200000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,8612,0,000000,1,360000,0,000000,342,200000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,8749,0,000000,1,360000,0,000000,342,000000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,8911,0,000000,1,360000,0,000000,341,800000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9046,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9307,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9437,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9570,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9705,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9824,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
1,9950,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
2,0093,0,000000,1,360000,0,000000,341,600000,10,600000,0,000000,-0,043108,1,310000,0,313276,0,000000,10,600000,0,000000,0,153479,1,310000,0,276486,0,000000,10,600000,0,000000
2,0248,0,000000,1,360000,0,000000,341,400000,10,800000,0,000000,-0,042014,1,310000,0,313424,0,000000,10,800000,0,000000,0,154443,1,310000,0,275948,0,000000,10,800000,0,000000
2,0419,0,000000,1,360000,0,000000,340,400000,11,200000,0,000000,-0,039825,1,310000,0,313710,0,000000,11,200000,0,000000,0,156366,1,310000,0,274863,0,000000,11,200000,0,000000
2,0581,0,000000,1,360000,0,000000,338,600000,11,800000,0,000000,-0,036538,1,310000,0,314110,0,000000,11,800000,0,000000,0,159236,1,310000,0,273211,0,000000,11,800000,0,000000
2,0754,0,000000,1,360000,0,000000,334,200000,13,200000,0,000000,-0,028853,1,310000,0,314909,0,000000,13,200000,0,000000,0,165863,1,310000,0,269239,0,000000,13,200000,0,000000
2,0909,0,000000,1,360000,0,000000,330,800000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,1070,0,000000,1,360000,0,000000,328,600000,14,800000,0,000000,-0,020049,1,310000,0,315592,0,000000,14,800000,0,000000,0,173316,1,310000,0,264503,0,000000,14,800000,0,000000
2,1217,0,000000,1,360000,0,000000,327,800000,15,000000,0,000000,-0,018947,1,310000,0,315660,0,000000,15,000000,0,000000,0,174238,1,310000,0,263896,0,000000,15,000000,0,000000
2,1358,0,000000,1,360000,0,000000,327,600000,15,000000,0,000000,-0,018947,1,310000,0,315660,0,000000,15,000000,0,000000,0,174238,1,310000,0,263896,0,000000,15,000000,0,000000
2,1500,0,000000,1,360000,0,000000,327,400000,15,000000,0,000001,-0,018947,1,310000,0,315660,0,000000,15,000000,0,000000,0,174238,1,310000,0,263896,0,000000,15,000000,0,000000
2,1615,0,000000,1,360000,0,000000,327,200000,15,000000,0,000001,-0,018947,1,310000,0,315660,0,000000,15,000000,0,000000,0,174238,1,310000,0,263896,0,000000,15,000000,0,000000
2,1745,0,000000,1,360000,0,000000,327,200000,15,000000,0,000001,-0,018947,1,310000,0,315660,0,000000,15,000000,0,000000,0,174238,1,310000,0,263896,0,000000,15,000000,0,000000
2,1885,0,000000,1,360000,0,000000,327,200000,14,800000,0,000000,-0,020049,1,310000,0,315592,0,000000,14,800000,0,000000,0,173316,1,310000,0,264503,0,000000,14,800000,0,000000
2,2017,0,000000,1,360000,0,000000,327,200000,14,800000,0,000000,-0,020049,1,310000,0,315592,0,000000,14,800000,0,000000,0,173316,1,310000,0,264503,0,000000,14,800000,0,000000
2,2176,0,000000,1,360000,0,000000,327,200000,14,800000,0,000000,-0,020049,1,310000,0,315592,0,000000,14,800000,0,000000,0,173316,1,310000,0,264503,0,000000,14,800000,0,000000
2,2306,0,000000,1,360000,0,000000,327,200000,14,600000,0,000000,-0,021150,1,310000,0,315520,0,000000,14,600000,0,000000,0,172392,1,310000,0,265106,0,000000,14,600000,0,000000
2,2444,0,000000,1,360000,0,000000,327,200000,14,400000,0,000000,-0,022251,1,310000,0,315444,0,000000,14,400000,0,000000,0,171465,1,310000,0,265706,0,000000,14,400000,0,000000
2,2585,0,000000,1,360000,0,000000,327,400000,14,200000,-0,000001,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,2718,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,2837,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,2961,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,3085,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,3204,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,3322,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
2,3440,0,000000,1,360000,0,000000,327,600000,14,200000,0,000000,-0,023352,1,310000,0,315364,0,000000,14,200000,0,000000,0,170537,1,310000,0,266303,0,000000,14,200000,0,000000
