time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
0.0200,0.105137,1.560679,0.127135,26.029250,355.588300,4.690376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0984,0.104834,1.558746,0.127014,27.596250,355.385900,5.304858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1224,0.104177,1.556301,0.126902,29.566780,355.023500,5.700389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1414,0.102962,1.552169,0.126867,32.660330,354.385800,5.723709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1527,0.102703,1.550935,0.126787,33.484610,354.181100,5.586761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1636,0.102432,1.549731,0.126724,34.286870,354.031400,5.481015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1747,0.102478,1.549716,0.126693,34.263290,354.079900,5.465239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1859,0.102223,1.548551,0.126688,34.976920,353.968400,5.394420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1971,0.102007,1.547402,0.126741,35.633970,353.822300,5.310803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2191,0.101604,1.545115,0.126950,36.670760,353.605800,5.256150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2301,0.101438,1.544026,0.127040,37.149800,353.495400,5.277086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2416,0.101264,1.542916,0.127098,37.566060,353.340300,5.206055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2525,0.101118,1.541912,0.127092,38.015330,353.295300,5.261820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2632,0.100987,1.540919,0.127026,38.428010,353.260300,5.287397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2747,0.100906,1.540005,0.126886,38.825120,353.206700,5.289821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2857,0.100771,1.539009,0.126705,39.147940,353.163300,5.287525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2969,0.100609,1.538046,0.126431,39.489500,353.130900,5.302284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3077,0.100449,1.537092,0.126085,39.844470,353.070500,5.282008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3197,0.100311,1.536162,0.125708,40.223630,352.993600,5.235468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3298,0.100158,1.535153,0.125238,40.580750,352.969500,5.232889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3412,0.099975,1.534173,0.124751,40.951740,352.945200,5.205555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3519,0.099789,1.533230,0.124218,41.308610,352.942500,5.234603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3630,0.099591,1.532381,0.123680,41.653590,352.924500,5.259177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3741,0.099422,1.531608,0.123112,41.913810,352.848600,5.242203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3852,0.099228,1.530861,0.122531,42.132260,352.814100,5.239822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3971,0.099053,1.530202,0.121943,42.285000,352.787100,5.271802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4075,0.098921,1.529659,0.121367,42.427570,352.744700,5.276586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4189,0.098819,1.529134,0.120780,42.557700,352.682400,5.240629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4300,0.098668,1.528568,0.120164,42.651890,352.726900,5.272157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4410,0.098584,1.528094,0.119560,42.812230,352.674500,5.226341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4521,0.098446,1.527526,0.118936,42.932450,352.728700,5.247858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4630,0.098363,1.527009,0.118330,43.127840,352.709200,5.227476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4743,0.098256,1.526417,0.117734,43.305140,352.715900,5.228230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4853,0.098159,1.525793,0.117160,43.485230,352.752300,5.278117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4969,0.098099,1.525141,0.116611,43.719560,352.778500,5.303199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5078,0.098042,1.524418,0.116075,43.979410,352.859200,5.386858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5190,0.097963,1.523634,0.115534,44.237790,352.978400,5.493152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5300,0.097919,1.522792,0.115004,44.530290,353.055100,5.590031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5413,0.097866,1.521984,0.114485,44.868530,353.082600,5.652928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5522,0.097740,1.521124,0.113953,45.218060,353.133100,5.737266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5631,0.097631,1.520270,0.113381,45.554130,353.094200,5.758452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5746,0.097408,1.519446,0.112721,45.885430,353.076500,5.741065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5854,0.097189,1.518650,0.111983,46.207970,353.028200,5.751724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5968,0.096996,1.517859,0.111129,46.479720,352.911600,5.707196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6076,0.096789,1.517158,0.110217,46.770400,352.846100,5.696125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6191,0.096598,1.516414,0.109252,46.969280,352.826000,5.758551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6298,0.096410,1.515754,0.108201,47.159810,352.818900,5.837988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6413,0.096242,1.515050,0.107083,47.285330,352.761900,5.855022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
