time,frame_id,marker_id,pos_x,pos_y,pos_z
6.8977,0,8182,0.828638,-0.076010,-0.216215
6.9140,0,8182,0.832411,-0.075952,-0.221347
6.9204,0,8182,0.837172,-0.074864,-0.225639
6.9327,0,8182,0.843148,-0.072860,-0.229757
6.9438,0,8182,0.854149,-0.072782,-0.239333
6.9546,0,8182,0.858490,-0.073673,-0.243288
6.9663,0,8182,0.861365,-0.074998,-0.246459
6.9760,0,8182,0.863637,-0.076532,-0.248629
7.1759,0,8183,0.876490,-0.090690,-0.221984
7.1872,0,8183,0.877337,-0.091638,-0.221790
7.1974,0,8183,0.878143,-0.092720,-0.221242
7.2084,0,8183,0.879108,-0.093415,-0.220151
7.2200,0,8183,0.880202,-0.093826,-0.218802
7.2305,0,8183,0.881482,-0.094149,-0.217536
7.2419,0,8183,0.882923,-0.094031,-0.216329
7.2535,0,8183,0.884381,-0.093851,-0.215335
7.2641,0,8183,0.887504,-0.093129,-0.213349
7.2756,0,8183,0.888977,-0.092683,-0.212385
7.2868,0,8183,0.890385,-0.092461,-0.211508
7.2976,0,8183,0.891900,-0.092330,-0.210625
7.3099,0,8183,0.893539,-0.092336,-0.209609
7.9538,0,8184,0.933788,-0.021995,-0.146999
7.9643,0,8184,0.926683,-0.018314,-0.140828
7.9753,0,8184,0.922290,-0.018123,-0.138467
7.9865,0,8184,0.917092,-0.017324,-0.135867
7.9976,0,8184,0.912502,-0.014856,-0.131865
8.0085,0,8184,0.909121,-0.009678,-0.126768
8.0204,0,8184,0.906619,-0.004582,-0.121677
8.0307,0,8172,0.927944,0.001181,-0.096476
8.0307,0,8184,0.903850,-0.000793,-0.117090
8.0428,0,8172,0.926213,0.005424,-0.091239
8.0428,0,8184,0.901161,0.002662,-0.112785
8.0542,0,8184,0.898402,0.005035,-0.109425
8.0640,0,8172,0.917967,0.016099,-0.078613
8.0640,0,8184,0.896048,0.011966,-0.102107
8.0753,0,8172,0.914771,0.021764,-0.075887
8.0753,0,8184,0.896084,0.015483,-0.100118
8.0878,0,8172,0.912448,0.027257,-0.075361
8.0984,0,8172,0.910353,0.032446,-0.073922
8.4534,0,8186,0.781261,0.077589,0.185345
8.4643,0,8186,0.776181,0.069024,0.194948
8.4756,0,8186,0.773292,0.065722,0.199242
8.4865,0,8185,0.767754,0.061213,0.222349
8.4865,0,8186,0.770809,0.063262,0.202750
8.4977,0,8185,0.764818,0.057635,0.225893
8.4977,0,8186,0.768427,0.060162,0.206249
8.5085,0,8185,0.761924,0.054126,0.228852
8.5200,0,8185,0.759646,0.051446,0.231867
8.5311,0,8185,0.757294,0.048652,0.234592
8.6221,0,8186,0.749673,0.048192,0.255721
8.6305,0,8186,0.748772,0.048727,0.257096
8.6413,0,8186,0.783681,0.033466,0.236649
8.6531,0,8185,0.746987,0.047292,0.259849
8.6531,0,8186,0.782883,0.032535,0.237069
8.6638,0,8186,0.782257,0.030587,0.237169
8.6752,0,8186,0.781678,0.029456,0.237248
8.6861,0,8186,0.770942,0.014502,0.227006
8.7095,0,8186,0.779442,0.025379,0.239717
8.7211,0,8186,0.778182,0.023114,0.240857
8.7306,0,8186,0.777342,0.022036,0.241950
8.7412,0,8186,0.776954,0.021641,0.242683
8.7530,0,8186,0.776317,0.021135,0.243587
8.7637,0,8186,0.775460,0.021192,0.245518
8.7751,0,8186,0.775511,0.021625,0.246498
8.7862,0,8186,0.776430,0.023014,0.247723
8.7971,0,8185,0.741828,0.031907,0.264533
8.7971,0,8186,0.777589,0.024670,0.249248
8.8083,0,8171,0.761607,0.017555,0.228035
8.8083,0,8186,0.777859,0.025245,0.250677
8.8203,0,8171,0.761470,0.017560,0.228105
8.8203,0,8185,0.741350,0.030216,0.263742
8.8306,0,8171,0.761344,0.017606,0.228194
8.8306,0,8185,0.741097,0.029093,0.263790
8.8416,0,8171,0.761220,0.017717,0.228306
8.8416,0,8185,0.740860,0.027583,0.264014
8.8536,0,8171,0.761129,0.017964,0.228530
8.8654,0,8171,0.761086,0.018482,0.228951
8.8654,0,8185,0.741279,0.026600,0.264244
8.8764,0,8185,0.741300,0.030178,0.265680
8.8861,0,8185,0.740943,0.029668,0.265491
8.8972,0,8185,0.740767,0.029574,0.265591
8.9087,0,8185,0.740742,0.029852,0.265886
8.9199,0,8185,0.740809,0.030270,0.266175
8.9302,0,8185,0.740942,0.030403,0.266325
8.9415,0,8185,0.740966,0.029936,0.266150
8.9535,0,8185,0.740975,0.029309,0.265859
8.9639,0,8185,0.736754,0.023986,0.262508
8.9753,0,8185,0.740232,0.027131,0.264097
8.9865,0,8185,0.736901,0.023861,0.262573
8.9973,0,8185,0.740386,0.027264,0.264263
9.0084,0,8185,0.736933,0.024070,0.262614
9.0213,0,8171,0.740743,0.021844,0.237123
9.0213,0,8185,0.740340,0.027401,0.264196
9.0322,0,8171,0.741776,0.021224,0.237001
9.0322,0,8185,0.736926,0.024266,0.262474
9.0322,0,8187,0.766272,0.019896,0.247107
9.0417,0,8171,0.742933,0.020535,0.236905
9.0417,0,8185,0.740984,0.028339,0.265256
9.0417,0,8187,0.766741,0.020388,0.247239
9.0530,0,8171,0.743529,0.020473,0.236744
9.0530,0,8185,0.741019,0.029046,0.265508
9.0530,0,8187,0.767225,0.020827,0.247441
9.0640,0,8171,0.743689,0.020528,0.236668
9.0640,0,8187,0.768160,0.020470,0.247175
9.0752,0,8185,0.740304,0.024863,0.264224
9.0752,0,8187,0.768538,0.020269,0.247045
9.0861,0,8185,0.740061,0.023421,0.262397
9.0861,0,8187,0.768574,0.020274,0.246949
9.0971,0,8185,0.740026,0.023364,0.262252
9.0971,0,8187,0.768564,0.020310,0.246831
9.1083,0,8185,0.740182,0.022936,0.262308
9.1083,0,8187,0.768584,0.020295,0.246725
9.1197,0,8185,0.739692,0.022640,0.261584
9.1197,0,8187,0.768575,0.020325,0.246631
9.1314,0,8185,0.739644,0.022630,0.261539
9.1314,0,8187,0.768632,0.020308,0.246508
9.1418,0,8171,0.760273,0.020785,0.229858
9.1418,0,8185,0.739625,0.022620,0.261511
9.1418,0,8187,0.768625,0.020310,0.246392
9.1536,0,8171,0.758464,0.019368,0.228484
9.1536,0,8185,0.739586,0.022618,0.261472
9.1536,0,8187,0.768607,0.020355,0.246286
9.1640,0,8171,0.758501,0.019335,0.228437
9.1640,0,8185,0.739524,0.022606,0.261421
9.1640,0,8187,0.768668,0.020308,0.246104
9.1772,0,8171,0.758570,0.019366,0.228443
9.1772,0,8185,0.739515,0.022577,0.261405
9.1772,0,8187,0.768636,0.020341,0.246156
9.1876,0,8171,0.758584,0.019338,0.228419
9.1876,0,8185,0.739530,0.022592,0.261423
