time,frame_id,marker_id,pos_x,pos_y,pos_z
1,0272,1500,7251,0.000000,1.400000,0.600000
1,0272,1500,7252,0.023750,1.272500,0.600000
1,0272,1500,7253,0.047500,1.145000,0.600000
1,0384,1501,7251,0.000000,1.400000,0.600000
1,0384,1501,7252,0.023750,1.272500,0.600000
1,0384,1501,7253,0.047500,1.145000,0.600000
1,0443,1502,7251,0.000000,1.400000,0.600000
1,0443,1502,7252,0.023750,1.272500,0.600000
1,0443,1502,7253,0.047500,1.145000,0.600000
1,0557,1503,7251,0.000000,1.400000,0.600000
1,0557,1503,7252,0.023750,1.272500,0.600000
1,0557,1503,7253,0.047500,1.145000,0.600000
1,0653,1504,7251,0.000000,1.400000,0.600000
1,0653,1504,7252,0.023750,1.272500,0.600000
1,0653,1504,7253,0.047500,1.145000,0.600000
1,0776,1505,7251,0.000000,1.400000,0.600000
1,0776,1505,7252,0.023750,1.272500,0.600000
1,0776,1505,7253,0.047500,1.145000,0.600000
1,0875,1506,7251,0.000000,1.400000,0.600000
1,0875,1506,7252,0.023750,1.272500,0.600000
1,0875,1506,7253,0.047500,1.145000,0.600000
1,0978,1507,7251,0.000000,1.400000,0.600000
1,0978,1507,7252,0.023750,1.272500,0.600000
1,0978,1507,7253,0.047500,1.145000,0.600000
1,1074,1508,7251,0.000000,1.400000,0.600000
1,1074,1508,7252,0.023750,1.272500,0.600000
1,1074,1508,7253,0.047500,1.145000,0.600000
1,1189,1509,7251,0.000000,1.400000,0.600000
1,1189,1509,7252,0.023750,1.272500,0.600000
1,1189,1509,7253,0.047500,1.145000,0.600000
1,1304,1510,7251,0.000000,1.400000,0.600000
1,1304,1510,7252,0.023750,1.272500,0.600000
1,1304,1510,7253,0.047500,1.145000,0.600000
1,1411,1511,7251,0.000000,1.400000,0.600000
1,1411,1511,7252,0.023750,1.272500,0.600000
1,1411,1511,7253,0.047500,1.145000,0.600000
1,1478,1512,7251,0.000000,1.400000,0.600000
1,1478,1512,7252,0.023750,1.272500,0.600000
1,1478,1512,7253,0.047500,1.145000,0.600000
1,1649,1513,7251,0.000000,1.400000,0.600000
1,1649,1513,7252,0.023750,1.272500,0.600000
1,1649,1513,7253,0.047500,1.145000,0.600000
1,1703,1514,7251,0.000000,1.400000,0.600000
1,1703,1514,7252,0.023750,1.272500,0.600000
1,1703,1514,7253,0.047500,1.145000,0.600000
1,1822,1515,7251,0.000000,1.400000,0.600000
1,1822,1515,7252,0.023750,1.272500,0.600000
1,1822,1515,7253,0.047500,1.145000,0.600000
1,1936,1516,7251,0.000000,1.400000,0.600000
1,1936,1516,7252,0.023750,1.272500,0.600000
1,1936,1516,7253,0.047500,1.145000,0.600000
1,2021,1517,7251,0.000000,1.400000,0.600000
1,2021,1517,7252,0.023750,1.272500,0.600000
1,2021,1517,7253,0.047500,1.145000,0.600000
1,2144,1518,7251,0.000000,1.400000,0.600000
1,2144,1518,7252,0.023750,1.272500,0.600000
1,2144,1518,7253,0.047500,1.145000,0.600000
1,2239,1519,7251,0.000000,1.400000,0.600000
1,2239,1519,7252,0.023750,1.272500,0.600000
1,2239,1519,7253,0.047500,1.145000,0.600000
1,2482,1521,7251,0.000000,1.400000,0.600000
1,2482,1521,7252,0.023750,1.272500,0.600000
1,2482,1521,7253,0.047500,1.145000,0.600000
1,2576,1522,7251,0.000000,1.400000,0.600000
1,2576,1522,7252,0.023750,1.272500,0.600000
1,2576,1522,7253,0.047500,1.145000,0.600000
1,3385,1530,7251,0.000000,1.400000,0.600000
1,3385,1530,7252,0.023750,1.272500,0.600000
1,3385,1530,7253,0.047500,1.145000,0.600000
1,3516,1531,7251,0.000000,1.400000,0.600000
1,3516,1531,7252,0.023750,1.272500,0.600000
1,3516,1531,7253,0.047500,1.145000,0.600000
1,3835,1534,7251,0.000000,1.400000,0.600000
1,3835,1534,7252,0.023750,1.272500,0.600000
1,3835,1534,7253,0.047500,1.145000,0.600000
1,3966,1535,7251,0.000000,1.400000,0.600000
1,3966,1535,7252,0.023750,1.272500,0.600000
1,3966,1535,7253,0.047500,1.145000,0.600000
1,4026,1536,7251,0.000000,1.400000,0.600000
1,4026,1536,7252,0.023750,1.272500,0.600000
1,4026,1536,7253,0.047500,1.145000,0.600000
1,4136,1537,7251,0.000000,1.400000,0.600000
1,4136,1537,7252,0.023750,1.272500,0.600000
1,4136,1537,7253,0.047500,1.145000,0.600000
1,4223,1538,7251,0.000000,1.400000,0.600000
1,4223,1538,7252,0.023750,1.272500,0.600000
1,4223,1538,7253,0.047500,1.145000,0.600000
1,4304,1539,7251,0.000000,1.400000,0.600000
1,4304,1539,7252,0.023750,1.272500,0.600000
1,4304,1539,7253,0.047500,1.145000,0.600000
1,4455,1540,7251,0.000000,1.400000,0.600000
1,4455,1540,7252,0.023750,1.272500,0.600000
1,4455,1540,7253,0.047500,1.145000,0.600000
1,4606,1542,7251,0.000000,1.400000,0.600000
